company_id,industry,years_established,num_employees,is_public,market_cap,annual_revenue,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,times_interest_earned,net_profit_margin,roa,roe,asset_turnover,inventory_turnover,operating_cash_flow,free_cash_flow,credit_rating,num_banking_relationships,primary_bank_relationship_years,total_credit_facilities,committed_facilities,utilization_rate,outstanding_debt,geographic_diversification,regulatory_environment,market_position,esg_score,corporate_credit_score,default_probability,is_default,observation_date,gdp_growth,unemployment_rate,interest_rate,credit_spread,vix,macro_risk_factor
CORP_0001,Real Estate,105,4734,1,85473198.74,424804125.53,1.35,1.15,0.8,2.39,0.6826,6.25,0.1838,0.0724,0.203,1.99,4.2,102160848.99,80381010.86,BB+,3,22.4,96223881.67,59252357.37,0.1147,6797283.73,Regional,Low,Average,53,651,0.054861516520059495,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8432684099336892
CORP_0002,Technology,34,6643,1,1260694495.39,4408878495.56,0.8,0.56,0.3,1.24,0.5782,10.35,0.0771,0.0431,0.1127,0.99,3.16,426601983.05,281339459.62,AA-,7,20.6,373815639.1,254191387.46,0.1612,40963019.99,Global,Medium,Strong,77,815,0.0013097160860644419,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0003,Telecommunications,28,500,1,227912630.62,122551358.79,0.8,0.72,0.38,0.28,0.1801,17.54,0.0971,0.0722,0.0868,0.48,4.87,13142874.4,9428091.43,A+,1,8.4,9309589.32,6911787.26,0.4771,3297518.7,Regional,Low,Weak,22,822,0.0004938988184602388,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.807413970683563
CORP_0004,Financial Services,40,1372,1,63528524.26,174726482.9,1.51,1.05,0.57,0.85,0.3704,9.13,0.0074,0.0952,0.1841,0.73,3.41,1663941.33,1183695.28,BBB+,6,26.9,43659113.82,33640322.39,0.0519,1746169.21,Regional,Medium,Average,72,750,0.003571850317310918,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.807413970683563
CORP_0005,Financial Services,15,1696,1,6897414.56,481457351.82,2.52,1.87,0.81,0.86,0.3987,7.81,0.0966,0.1006,0.195,0.3,6.19,56987171.14,37232896.97,BBB,7,3.4,129541190.54,95027193.02,0.0527,5005732.23,Domestic,Low,Strong,63,735,0.004255235887980949,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.8220648219250999
CORP_0006,Consumer Goods,6,3656,1,204988265.4,870290667.91,2.0,1.58,0.9,0.79,0.4215,5.8,-0.0165,0.0922,0.1338,0.48,3.53,-18082920.9,-13256305.7,B,9,2.3,185840795.89,128855940.06,0.4674,60228647.24,Regional,Medium,Average,65,592,0.08454844166837053,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.732630294168414
CORP_0007,Energy,123,12348,1,995234781.0,2288470406.17,1.63,1.46,0.49,0.91,0.405,11.14,0.1153,0.0883,0.2011,0.44,13.94,319467251.64,251840268.07,A+,3,27.4,129956725.73,102220407.23,0.1772,18116933.48,Global,Medium,Weak,62,816,0.0015828185593745668,0,2024-10-31,-0.0024318512365618886,0.05629499586269324,0.03385166478859259,0.014819687670918288,27.872443953656187,0.8560943715676737
CORP_0008,Energy,13,601,1,171275008.09,264539678.15,4.0,2.93,1.88,0.48,0.361,8.46,0.0353,0.05,0.067,0.5,14.05,12475289.65,10732761.61,BBB+,5,9.4,58065554.89,37395706.99,0.0613,2292314.47,Global,Medium,Leader,55,775,0.006138979476469216,0,2024-07-31,0.022210383847610954,0.07195995607594714,0.035192313918469754,0.018493943141637013,26.924499295250627,0.9021123716377477
CORP_0009,Manufacturing,7,1404,1,2004695230.11,80164601.91,3.35,2.02,1.39,0.79,0.4876,7.06,0.0028,0.0054,0.009,0.39,3.36,297238.49,240883.44,A-,2,4.2,12895304.6,11571855.49,0.2742,3172574.99,Domestic,High,Leader,71,770,0.007666096325129648,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8785246560659119
CORP_0010,Telecommunications,25,2758,1,112453804.82,442508044.64,1.23,0.94,0.6,1.07,0.5215,5.2,0.0901,0.1677,0.3397,1.3,4.17,52940088.02,46458596.24,AA,2,6.3,93451844.4,82407145.91,0.33,27192411.05,Global,Low,Average,73,831,0.0006548825765716333,0,2023-07-31,0.0199449965378128,0.060318652951567533,0.03648197571268648,0.024912627018436127,27.01983447040821,1.006429858346778
CORP_0011,Media,26,9314,1,447927617.81,1837558557.73,4.0,2.49,1.31,1.8,0.5355,9.62,0.2015,0.1329,0.3625,0.3,6.22,468115592.41,357130319.82,AA-,7,18.5,527118762.23,445571483.03,0.0166,7379335.93,Global,Medium,Weak,48,823,0.0014312606397204855,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7613581933871103
CORP_0012,Energy,5,11680,0,0.0,2505968374.46,0.93,0.59,0.24,0.1,0.0792,6.0,0.0422,0.0896,0.0977,0.97,4.93,141118646.96,115620509.64,BB+,5,3.1,502174717.93,401373479.8,0.269,107970271.88,Domestic,Low,Strong,100,681,0.01753576155326859,0,2023-01-31,0.029522476424876185,0.048656053745884296,0.031114530822760132,0.01823395348490199,18.7152646552971,0.7410030339756155
CORP_0013,Energy,8,3237,0,0.0,625347603.18,1.04,0.86,0.53,0.33,0.2463,7.44,0.1251,0.0334,0.0434,1.43,12.27,90964818.98,56325216.96,BBB+,5,3.7,67218571.99,52130677.01,0.2232,11635611.17,Domestic,Low,Average,63,729,0.01646116577312033,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8432684099336892
