company_id,industry,years_in_business,num_employees,annual_revenue,current_ratio,debt_to_equity,interest_coverage,profit_margin,asset_turnover,operating_cash_flow,working_capital,primary_bank_relationship_years,num_banking_products,credit_line_amount,credit_utilization,outstanding_loans,days_past_due,payment_delays_12m,geographic_risk,market_competition,management_quality,sme_credit_score,default_probability,is_default,observation_date,gdp_growth,unemployment_rate,interest_rate,credit_spread,vix,macro_risk_factor
SME_00001,Retail Trade,6.2,10,657154.63,0.86,0.87,14.45,-0.0026,1.15,-1690.8,88621.42,2.2,2,259001.88,0.2415,62548.02,30,1,Low,High,4.1,606,0.10545114109423545,0,2023-06-30,0.02377519410809946,0.039892130560106355,0.03647305790619906,0.021222648848562054,23.21827868605176,0.9335843617982367
SME_00002,Technology,1.0,1,183335.79,0.5,0.71,10.18,0.0832,0.51,18481.73,34314.37,1.0,2,91026.97,0.4024,36626.69,0,1,Medium,High,7.4,661,0.04284397220344916,0,2024-03-31,0.004971122783148704,0.048972192996683074,0.03683184875235978,0.013415258116731322,23.573618147452756,0.8427322476714992
SME_00003,Retail Trade,2.2,1,100000.0,0.5,2.83,6.52,-0.0139,3.24,-1667.17,14265.37,1.4,1,29685.98,0.1247,3703.0,30,1,Medium,Medium,6.2,493,0.2744090048417793,1,2024-07-31,0.022210383847610954,0.07195995607594714,0.035192313918469754,0.018493943141637013,26.924499295250627,0.9763601936711731
SME_00004,Professional Services,10.0,2,111195.81,0.59,0.28,15.25,0.1452,0.73,20937.34,24914.34,8.7,8,24758.86,0.1508,3734.29,0,2,Low,Medium,6.2,690,0.008709108565710048,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00005,Manufacturing,1.0,1,100000.0,1.21,0.2,3.28,0.0436,1.66,4064.04,12349.73,1.0,5,22351.91,0.314,7018.52,0,0,Medium,High,6.6,634,0.05063391260608915,1,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.666058435728249
SME_00006,Finance,2.4,3,365990.95,3.68,0.1,10.35,0.1893,1.77,55658.14,75113.24,2.0,4,150956.5,0.4726,71349.2,120,1,Medium,Medium,7.1,742,0.003943314902619596,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.7947300920328391
SME_00007,Food Services,1.6,1,100000.0,0.5,0.97,5.19,0.072,0.37,9353.04,19873.27,1.2,3,10713.86,0.4203,4503.38,0,1,Low,Medium,8.1,618,0.1261130474839796,0,2023-10-31,0.021148998146335724,0.06353513418750364,0.03642495556914113,0.022536910140728283,22.381872723888694,0.9468380264727759
SME_00008,Healthcare,4.1,3,281815.13,1.55,0.14,3.35,0.0761,4.0,20055.59,40022.9,2.6,1,125280.71,0.107,13411.2,90,0,High,High,9.1,690,0.011118571994793823,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.7947300920328391
SME_00009,Retail Trade,6.0,4,327975.99,2.16,1.07,5.66,0.0346,0.8,12322.74,27205.63,4.8,3,112765.84,0.5441,61352.03,0,2,Medium,Medium,8.3,638,0.03644792272438813,0,2023-01-31,0.029522476424876185,0.048656053745884296,0.031114530822760132,0.01823395348490199,18.7152646552971,0.7439932568058387
SME_00010,Transportation,10.7,1,128459.94,2.72,0.39,4.54,0.1213,0.92,18335.76,25566.56,8.5,3,13644.17,0.1892,2581.57,30,3,Medium,High,8.1,696,0.005284897434333739,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.91920957506971
